1	3	0.958492
1	6	0.219309
1	9	0.787585
1	21	0.979205
1	25	0.0667531
1	34	0.856818
1	35	0.639884
1	44	0.962966
1	62	0.58982
1	65	0.459979
1	66	0.793611
1	89	0.714394
1	132	0.280173
1	138	0.575653
1	147	0.969908
1	170	0.698081
1	177	0.630251
1	201	0.0207401
1	305	0.947633
1	323	0.382068
1	385	0.950112
1	557	0.356403
1	621	0.366699
1	643	0.044121
1	650	0.858628
1	773	0.635377
1	786	0.0853528
2	5	0.768697
2	34	0.1832
2	36	0.253563
2	65	0.835551
2	126	0.0472565
2	170	0.176924
2	228	0.498831
2	262	0.712381
2	322	0.00806455
2	409	0.201845
2	410	0.553085
2	516	0.520758
2	517	0.0427008
2	519	0.78353
2	522	0.708981
2	578	0.691625
2	579	0.0273301
2	593	0.43686
3	7	0.651064
3	17	0.604793
3	29	0.52748
3	59	0.0662387
3	66	0.767193
3	81	0.648077
3	107	0.0656832
3	142	0.788929
3	163	0.426664
3	257	0.134617
3	351	0.592573
3	515	0.331336
3	523	0.97969
3	531	0.177715
3	578	0.966797
3	651	0.665375
4	9	0.248196
4	22	0.0577899
4	35	0.355858
4	58	0.126845
4	92	0.106112
4	99	0.821834
4	262	0.282931
4	310	0.118273
4	326	0.813143
4	559	0.0965521
4	642	0.628447
4	834	0.504396
5	6	0.416213
5	7	0.278992
5	161	0.646051
5	165	0.960004
5	229	0.195208
5	283	0.43422
5	310	0.392101
5	388	0.414524
5	389	0.055171
5	409	0.550838
5	513	0.288615
5	517	0.0526166
5	541	0.748939
5	645	0.552841
5	845	0.781103
5	917	0.487608
6	7	0.406639
6	13	0.614276
6	85	0.770855
6	135	0.910064
6	557	0.571757
7	13	0.879554
7	15	0.732522
7	49	0.879111
7	195	0.284531
7	205	0.296262
7	263	0.79872
7	301	0.62997
7	408	0.188718
7	533	0.202601
7	545	0.751227
8	30	0.929051
8	232	0.0198491
8	262	0.255467
8	272	0.0273236
8	288	0.662683
8	415	0.582075
8	596	0.219562
9	73	0.249686
9	159	0.10582
9	537	0.566929
10	49	0.135743
